Id_Pays, Annee, Nbr_diabetique, Code_Sexe
12,1981,1253.55,1
12,1982,1293.82,1
12,1983,1336.65,1
12,1984,1382.53,1
12,1985,1431.82,1
12,1986,1483.51,1
12,1987,1536.66,1
12,1988,1591.67,1
12,1989,1646.59,1
12,1990,1736.05,1
12,1991,1840.04,1
12,1992,1922.35,1
12,1993,1947.39,1
12,1994,1929.72,1
12,1995,1927.4,1
12,1996,1942.6,1
12,1997,1975.88,1
12,1998,2009.67,1
12,1999,2042.79,1
12,2000,2076.03,1
12,2001,2107.05,1
12,2002,2140.38,1
12,2003,2181.66,1
12,2004,2231.62,1
12,2005,2287.24,1
12,2006,2348.31,1
12,2007,2411.23,1
12,2008,2472.98,1
12,2009,2532.11,1
12,2010,2592.7,1
12,2011,2655.29,1
12,2012,2724.06,1
12,2013,2798.03,1
12,2014,2879.14,1
15,1980,5602.8,1
15,1981,5631.62,1
15,1982,5677.84,1
15,1983,5719.79,1
15,1984,5755.99,1
15,1985,5801.75,1
15,1986,5856.49,1
15,1987,5914.79,1
15,1988,5969.27,1
15,1989,6025.29,1
15,1990,6103.36,1
15,1991,6206.45,1
15,1992,6329.05,1
15,1993,6460.78,1
15,1994,6575.31,1
15,1995,6657.42,1
15,1996,6725.41,1
15,1997,6795.17,1
15,1998,6864.83,1
15,1999,6927.37,1
15,2000,6992.14,1
15,2001,7050.61,1
15,2002,7105.56,1
15,2003,7177.8,1
15,2004,7257.91,1
15,2005,7358.25,1
15,2006,7469.63,1
15,2007,7578.0,1
15,2008,7676.73,1
15,2009,7774.9,1
15,2010,7878.65,1
15,2011,7991.22,1
15,2012,8110.01,1
15,2013,8238.93,1
15,2014,8376.9,1
16,1980,3601.67,1
16,1981,3701.33,1
16,1982,3808.07,1
16,1983,3918.74,1
16,1984,4034.44,1
16,1985,4160.09,1
16,1986,4283.82,1
16,1987,4411.33,1
16,1988,4547.06,1
16,1989,4684.66,1
16,1990,4829.06,1
16,1991,4969.11,1
16,1992,5080.63,1
16,1993,5207.5,1
16,1994,5342.01,1
16,1995,5474.78,1
16,1996,5605.01,1
16,1997,5737.57,1
16,1998,5882.6,1
16,1999,6040.57,1
16,2000,6211.34,1
16,2001,6397.94,1
16,2002,6606.78,1
16,2003,6834.93,1
16,2004,7082.21,1
16,2005,7347.79,1
16,2006,7632.12,1
16,2007,7931.35,1
16,2008,8236.36,1
16,2009,8597.5,1
16,2010,8977.53,1
16,2011,9296.71,1
16,2012,9631.79,1
16,2013,9981.84,1
16,2014,10345.8,1
18,1980,195.09,1
18,1981,204.89,1
18,1982,214.43,1
18,1983,223.31,1
18,1984,232.53,1
18,1985,242.3,1
18,1986,252.55,1
18,1987,263.31,1
18,1988,274.81,1
18,1989,286.91,1
18,1990,299.53,1
18,1991,312.73,1
18,1992,326.99,1
18,1993,342.57,1
18,1994,358.94,1
18,1995,376.01,1
18,1996,393.46,1
18,1997,411.02,1
18,1998,428.58,1
18,1999,445.96,1
18,2000,462.8,1
18,2001,478.7,1
18,2002,494.06,1
18,2003,508.38,1
18,2004,530.24,1
18,2005,568.48,1
18,2006,615.25,1
18,2007,662.35,1
18,2008,709.56,1
18,2009,756.55,1
18,2010,802.65,1
18,2011,824.67,1
18,2012,822.81,1
18,2013,831.24,1
18,2014,856.57,1
19,1980,33774.22,1
19,1981,34829.81,1
19,1982,36002.68,1
19,1983,37305.43,1
19,1984,38698.93,1
19,1985,40186.12,1
19,1986,41675.05,1
19,1987,43166.16,1
19,1988,44638.17,1
19,1989,46127.38,1
19,1990,47644.77,1
19,1991,49216.54,1
19,1992,50727.62,1
19,1993,52180.47,1
19,1994,53761.91,1
19,1995,55459.62,1
19,1996,57289.14,1
19,1997,59132.96,1
19,1998,61120.22,1
19,1999,63165.16,1
19,2000,65194.33,1
19,2001,67157.77,1
19,2002,69106.06,1
19,2003,70931.23,1
19,2004,72555.59,1
19,2005,74049.53,1
19,2006,75353.01,1
19,2007,76390.78,1
19,2008,77195.64,1
19,2009,77840.77,1
19,2010,78588.05,1
19,2011,79658.87,1
19,2012,80804.97,1
19,2013,82037.32,1
19,2014,83403.4,1
20,1980,137.81,1
20,1981,140.32,1
20,1982,142.97,1
20,1983,145.68,1
20,1984,148.49,1
20,1985,151.51,1
20,1986,154.53,1
20,1987,157.62,1
20,1988,160.76,1
20,1989,163.69,1
20,1990,166.45,1
20,1991,169.43,1
20,1992,172.28,1
20,1993,174.9,1
20,1994,177.12,1
20,1995,179.16,1
20,1996,181.41,1
20,1997,184.21,1
20,1998,187.63,1
20,1999,191.53,1
20,2000,196.08,1
20,2001,201.17,1
20,2002,207.09,1
20,2003,213.95,1
20,2004,221.51,1
20,2005,229.83,1
20,2006,238.95,1
20,2007,248.65,1
20,2008,258.7,1
20,2009,269.24,1
20,2010,279.82,1
20,2011,290.01,1
20,2012,300.04,1
20,2013,310.2,1
20,2014,320.39,1
21,1980,5999.33,1
21,1981,6158.99,1
21,1982,6337.85,1
21,1983,6526.92,1
21,1984,6732.78,1
21,1985,6948.92,1
21,1986,7163.14,1
21,1987,7376.53,1
21,1988,7591.46,1
21,1989,7778.93,1
21,1990,7968.73,1
21,1991,8143.01,1
21,1992,8298.01,1
21,1993,8467.09,1
21,1994,8642.89,1
21,1995,8794.26,1
21,1996,8930.75,1
21,1997,9071.62,1
21,1998,9209.7,1
21,1999,9340.62,1
21,2000,9465.9,1
21,2001,9582.9,1
21,2002,9690.96,1
21,2003,9781.06,1
21,2004,9853.38,1
21,2005,9911.03,1
21,2006,9958.25,1
21,2007,10004.76,1
21,2008,10056.55,1
21,2009,10115.99,1
21,2010,10189.71,1
21,2011,10268.32,1
21,2012,10354.03,1
21,2013,10455.07,1
21,2014,10581.65,1
22,1980,8254.38,1
22,1981,8324.63,1
22,1982,8385.52,1
22,1983,8455.56,1
22,1984,8536.75,1
22,1985,8621.4,1
22,1986,8711.77,1
22,1987,8813.67,1
22,1988,8927.26,1
22,1989,9063.25,1
22,1990,9210.08,1
22,1991,9365.79,1
22,1992,9535.12,1
22,1993,9720.65,1
22,1994,9900.08,1
22,1995,10072.78,1
22,1996,10228.59,1
22,1997,10377.19,1
22,1998,10531.51,1
22,1999,10678.6,1
22,2000,10819.61,1
22,2001,10957.36,1
22,2002,11101.11,1
22,2003,11256.45,1
22,2004,11407.76,1
22,2005,11559.2,1
22,2006,11716.66,1
22,2007,11890.86,1
22,2008,12076.54,1
22,2009,12272.1,1
22,2010,12470.9,1
22,2011,12685.71,1
22,2012,12970.61,1
22,2013,13187.75,1
22,2014,13398.9,1
23,1980,54.41,1
23,1981,57.66,1
23,1982,61.28,1
23,1983,65.12,1
23,1984,69.2,1
23,1985,73.51,1
23,1986,78.07,1
23,1987,82.87,1
23,1988,87.88,1
23,1989,93.1,1
23,1990,98.55,1
23,1991,104.2,1
23,1992,110.02,1
23,1993,115.99,1
23,1994,122.17,1
23,1995,128.79,1
23,1996,136.25,1
23,1997,144.75,1
23,1998,154.24,1
23,1999,164.46,1
23,2000,175.14,1
23,2001,186.08,1
23,2002,197.39,1
23,2003,209.16,1
23,2004,221.32,1
23,2005,233.74,1
23,2006,246.52,1
23,2007,259.52,1
23,2008,272.85,1
23,2009,286.21,1
23,2010,299.52,1
23,2011,312.67,1
23,2012,325.85,1
23,2013,339.47,1
23,2014,353.45,1
24,1980,1862.61,1
24,1981,1963.97,1
24,1982,2069.48,1
24,1983,2180.03,1
24,1984,2297.78,1
24,1985,2419.73,1
24,1986,2546.42,1
24,1987,2676.51,1
24,1988,2813.17,1
24,1989,2955.05,1
24,1990,3100.82,1
24,1991,3254.75,1
24,1992,3418.77,1
24,1993,3594.89,1
24,1994,3839.17,1
24,1995,4076.41,1
24,1996,4259.76,1
24,1997,4476.77,1
24,1998,4720.13,1
24,1999,4984.76,1
24,2000,5266.08,1
24,2001,5558.89,1
24,2002,5864.66,1
24,2003,6183.45,1
24,2004,6517.45,1
24,2005,6867.17,1
24,2006,7243.76,1
24,2007,7634.21,1
24,2008,8027.42,1
24,2009,8437.88,1
24,2010,8871.7,1
24,2011,9320.51,1
24,2012,9799.08,1
24,2013,10300.08,1
24,2014,10829.52,1
25,1980,25.24,1
25,1981,26.07,1
25,1982,26.7,1
25,1983,27.35,1
25,1984,28.07,1
25,1985,28.83,1
25,1986,29.57,1
25,1987,30.34,1
25,1988,31.11,1
25,1989,31.93,1
25,1990,32.78,1
25,1991,33.63,1
25,1992,33.96,1
25,1993,34.16,1
25,1994,34.74,1
25,1995,35.33,1
25,1996,35.95,1
25,1997,36.62,1
25,1998,37.37,1
25,1999,38.19,1
25,2000,39.01,1
25,2001,40.01,1
25,2002,41.14,1
25,2003,42.14,1
25,2004,43.21,1
25,2005,44.31,1
25,2006,45.38,1
25,2007,46.41,1
25,2008,47.46,1
25,2009,48.47,1
25,2010,49.49,1
25,2011,49.89,1
25,2012,50.22,1
25,2013,51.16,1
25,2014,52.08,1
26,1980,256.32,1
26,1981,262.9,1
26,1982,269.71,1
26,1983,276.71,1
26,1984,284.04,1
26,1985,291.61,1
26,1986,299.52,1
26,1987,307.7,1
26,1988,316.13,1
26,1989,324.82,1
26,1990,333.71,1
26,1991,341.92,1
26,1992,346.76,1
26,1993,332.49,1
26,1994,316.14,1
26,1995,315.3,1
26,1996,317.64,1
26,1997,321.96,1
26,1998,325.73,1
26,1999,329.91,1
26,2000,336.14,1
26,2001,343.77,1
26,2002,351.41,1
26,2003,358.86,1
26,2004,366.32,1
26,2005,373.69,1
26,2006,379.67,1
26,2007,383.77,1
26,2008,386.96,1
26,2009,390.12,1
26,2010,394.06,1
26,2011,398.87,1
26,2012,403.25,1
26,2013,407.98,1
26,2014,413.14,1
27,1980,3008.64,1
27,1981,3117.09,1
27,1982,3225.73,1
27,1983,3342.25,1
27,1984,3466.05,1
27,1985,3596.14,1
27,1986,3733.72,1
27,1987,3880.76,1
27,1988,4039.18,1
27,1989,4205.28,1
27,1990,4378.21,1
27,1991,4562.53,1
27,1992,4752.55,1
27,1993,4946.39,1
27,1994,5149.47,1
27,1995,5357.71,1
27,1996,5571.47,1
27,1997,5798.41,1
27,1998,6037.81,1
27,1999,6287.98,1
27,2000,6552.73,1
27,2001,6818.68,1
27,2002,7084.63,1
27,2003,7354.12,1
27,2004,7622.64,1
27,2005,7892.2,1
27,2006,8160.14,1
27,2007,8432.51,1
27,2008,8711.73,1
27,2009,9004.03,1
27,2010,9320.78,1
27,2011,9663.27,1
27,2012,10008.26,1
27,2013,10365.75,1
27,2014,10742.12,1
28,1980,1289.55,1
28,1981,1338.49,1
28,1982,1389.38,1
28,1983,1441.69,1
28,1984,1497.24,1
28,1985,1557.08,1
28,1986,1619.3,1
28,1987,1682.68,1
28,1988,1748.66,1
28,1989,1814.31,1
28,1990,1882.03,1
28,1991,1950.02,1
28,1992,2018.11,1
28,1993,1980.01,1
28,1994,1884.5,1
28,1995,1856.7,1
28,1996,1909.19,1
28,1997,2049.21,1
28,1998,2183.44,1
28,1999,2280.29,1
28,2000,2361.54,1
28,2001,2437.3,1
28,2002,2505.96,1
28,2003,2566.6,1
28,2004,2613.9,1
28,2005,2644.9,1
28,2006,2670.23,1
28,2007,2697.79,1
28,2008,2713.39,1
28,2009,2710.85,1
28,2010,2703.35,1
28,2011,2692.92,1
28,2012,2683.45,1
28,2013,2673.37,1
28,2014,2673.47,1
29,1980,948.19,1
29,1981,999.81,1
29,1982,1052.02,1
29,1983,1101.42,1
29,1984,1149.08,1
29,1985,1198.65,1
29,1986,1250.25,1
29,1987,1304.03,1
29,1988,1358.68,1
29,1989,1412.6,1
29,1990,1464.99,1
29,1991,1515.39,1
29,1992,1563.77,1
29,1993,1612.78,1
29,1994,1663.3,1
29,1995,1710.74,1
29,1996,1755.4,1
29,1997,1799.91,1
29,1998,1844.68,1
29,1999,1891.58,1
29,2000,1942.01,1
29,2001,1997.96,1
29,2002,2060.53,1
29,2003,2126.57,1
29,2004,2196.53,1
29,2005,2272.52,1
29,2006,2354.0,1
29,2007,2441.8,1
29,2008,2533.07,1
29,2009,2627.22,1
29,2010,2723.67,1
29,2011,2824.87,1
29,2012,2931.49,1
29,2013,3039.6,1
29,2014,3153.18,1
